                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84076,                 1.7577,                 1.3139,                0.39993,                 0.8051,                0.44912,                0.26288,                 1.4391,                 2.1581,                 2.6979,             0.00055047,             0.00055047,             0.00055047
                      2,                 0.7902,                 1.2391,                 1.2432,                0.33673,                 0.6893,                 0.3808,                0.27977,                  1.158,                 2.2666,                  1.902,              0.0010842,              0.0010842,              0.0010842
                      3,                  0.834,                 1.1713,                 1.2575,                0.50031,                0.83019,                 0.5717,                0.40226,                 1.2713,                  1.607,                 2.0389,               0.001596,               0.001596,               0.001596
                      4,                0.79983,                 1.0694,                 1.2336,                0.55137,                 0.8226,                0.61157,                 0.4286,                 1.1806,                 1.4514,                 1.8742,               0.001568,               0.001568,               0.001568
                      5,                0.76305,                 1.0083,                 1.2079,                0.60738,                0.85759,                0.68533,                 0.5077,                 1.1331,                 1.2716,                 1.8884,               0.001535,               0.001535,               0.001535
                      6,                0.73776,                 0.9249,                 1.1866,                 0.5044,                0.92879,                0.62653,                0.47672,                 1.0218,                  1.335,                 1.7167,               0.001502,               0.001502,               0.001502
                      7,                0.71204,                0.88653,                 1.1666,                0.51219,                0.87285,                0.62053,                0.46894,                 1.0028,                 1.2851,                 1.6857,               0.001469,               0.001469,               0.001469
                      8,                  0.691,                0.86549,                 1.1512,                0.56803,                0.91934,                0.68072,                0.53153,                0.90026,                 1.1617,                 1.5663,               0.001436,               0.001436,               0.001436
                      9,                0.68713,                0.83171,                 1.1493,                0.51988,                0.82789,                0.68765,                0.55116,                 0.9103,                 1.1558,                 1.6639,              0.0014029,              0.0014029,              0.0014029
                     10,                0.67332,                0.83565,                 1.1445,                0.53878,                 0.9387,                0.67865,                0.52802,                0.90677,                 1.1422,                 1.6156,              0.0013699,              0.0013699,              0.0013699
                     11,                0.63206,                 0.8034,                 1.1178,                 0.5234,                0.88234,                0.68683,                0.54273,                0.85356,                  1.105,                 1.5335,              0.0013369,              0.0013369,              0.0013369
                     12,                0.64862,                0.78992,                  1.129,                0.64952,                0.91435,                0.78464,                0.63028,                0.84811,                 1.0072,                 1.5232,              0.0013039,              0.0013039,              0.0013039
                     13,                0.61298,                0.76687,                 1.0977,                0.56028,                0.96535,                0.73822,                0.58705,                0.85742,                 1.0562,                 1.5486,              0.0012709,              0.0012709,              0.0012709
                     14,                0.60365,                 0.7412,                 1.1004,                0.63378,                0.94637,                0.72945,                0.59199,                0.86882,                 1.0173,                  1.555,              0.0012379,              0.0012379,              0.0012379
                     15,                0.60249,                0.73805,                 1.1025,                0.63751,                0.84081,                0.69139,                0.57553,                0.76671,                 1.1198,                 1.4109,              0.0012049,              0.0012049,              0.0012049
                     16,                 0.6061,                0.75702,                 1.1085,                0.55967,                0.93228,                0.69463,                 0.5473,                 1.0109,                 1.1423,                 1.7547,              0.0011719,              0.0011719,              0.0011719
                     17,                0.57882,                0.71759,                 1.0855,                0.48365,                 0.9568,                0.75186,                0.59766,                0.87294,                 1.0624,                  1.636,              0.0011389,              0.0011389,              0.0011389
                     18,                0.58417,                0.71052,                 1.0874,                0.60437,                0.89877,                0.81351,                0.64298,                0.77294,                0.91887,                 1.4505,              0.0011059,              0.0011059,              0.0011059
                     19,                0.57448,                0.71406,                 1.0848,                 0.6733,                0.91027,                0.79231,                0.63931,                0.89146,                0.98598,                 1.5864,              0.0010729,              0.0010729,              0.0010729
                     20,                0.55899,                0.68772,                 1.0767,                0.64652,                 0.9549,                0.80263,                0.64592,                0.80403,                0.95285,                 1.4735,              0.0010399,              0.0010399,              0.0010399
                     21,                0.54786,                0.68574,                 1.0665,                0.64393,                0.90445,                0.82021,                0.65025,                0.87625,                0.99522,                 1.5605,              0.0010069,              0.0010069,              0.0010069
                     22,                 0.5373,                0.66217,                 1.0673,                0.55739,                0.92045,                 0.6741,                0.53261,                0.82776,                0.98794,                 1.5471,             0.00097386,             0.00097386,             0.00097386
                     23,                0.53764,                0.68987,                 1.0633,                0.60793,                0.95207,                0.81534,                0.66911,                0.78604,                0.92951,                 1.4693,             0.00094085,             0.00094085,             0.00094085
                     24,                0.53312,                0.66905,                 1.0679,                0.62401,                 0.9311,                0.78815,                0.62904,                0.83556,                0.97603,                 1.5545,             0.00090785,             0.00090785,             0.00090785
                     25,                0.52675,                0.66573,                 1.0545,                0.56212,                 0.9684,                0.72526,                0.58637,                0.82581,                 1.0031,                 1.5248,             0.00087484,             0.00087484,             0.00087484
                     26,                0.52368,                0.65567,                 1.0579,                0.66877,                 0.9372,                0.80165,                0.66072,                0.74662,                0.94314,                 1.3959,             0.00084184,             0.00084184,             0.00084184
                     27,                0.51266,                0.62631,                 1.0458,                0.62292,                0.91055,                0.73924,                0.59671,                0.94784,                 1.0406,                 1.7209,             0.00080883,             0.00080883,             0.00080883
                     28,                0.51075,                0.64005,                 1.0521,                0.64178,                 0.9566,                0.74256,                0.63329,                0.69977,                0.91464,                 1.3764,             0.00077582,             0.00077582,             0.00077582
                     29,                0.50304,                0.62795,                 1.0427,                0.58436,                0.93826,                0.71578,                0.57705,                0.85009,                0.94648,                 1.5797,             0.00074282,             0.00074282,             0.00074282
                     30,                0.49699,                0.63164,                 1.0434,                0.65019,                 0.9155,                0.75474,                 0.6172,                0.84952,                0.96171,                 1.5521,             0.00070981,             0.00070981,             0.00070981
                     31,                0.48861,                0.61895,                 1.0297,                0.66511,                0.95355,                0.79033,                0.67429,                  0.685,                0.87319,                 1.3549,              0.0006768,              0.0006768,              0.0006768
